<<<<<<< HEAD
0.14139395309709568 0.28062423257359503 1.2003736503966467
0.21782734627418077 0.42634220676645906 0.6857563359867264
0.911892319541419 0.42565559630506233 0.6021520888263568
0.922265606577704 0.557363737977175 0.2162328473771489
0.4394426697863666 0.4506676802114523 0.3219060002942029
0.016987182477609997 0.5253418604073146 0.470183244422284
0.4645455579118124 0.33185778392569676 0.4509330798026666
0.6712918389240518 0.47657201107693026 0.46675420187355354
0.4002670483296329 0.005909978041518937 0.43230316541142044
0.3264091457883189 0.6015902289258717 0.2595911301478211
0.08964883890234643 0.8464228760009831 0.35618220005999707
0.9117846086140723 0.6545528802548765 0.1288835104443774
0.985320027197464 0.3320020687227302 0.24748666717010573
0.21022870756158663 0.6624996173732971 0.24792567700062518
0.5583551489683581 0.7495856628784556 0.18614069016499257
0.15068849500735904 0.9237919797131322 0.3931261107562777
0.2886269932387465 0.8788482895578801 0.33546960797810044
0.2928510518821553 0.8638675713583617 0.1521471759736463
0.4937533988835896 0.6249012174531083 0.04093068816017445
0.7917122849573294 0.7660922235565295 0.07496731423149974
0.9349919358695253 0.6416900149760397 0.18733829442149563
0.7422214184345748 0.3163391048460793 0.6924220969707621
0.2590384326512112 0.022774321745542947 0.8553881231384187
0.8381524507894694 0.9751843565449356 0.027809408533278734
0.7574659479185539 0.32236745634066966 0.7494560826214184
0.07689795154344092 0.11732472254456672 0.9341432451923732
0.8652131440537552 0.9242840682658224 0.04458990260633548
0.4920630789299577 0.897888873873508 0.07922493719321155
0.4843038355400102 0.10486928297274734 0.5471139296803416
0.5165988143492368 0.4623192811589244 0.41314196857778973
0.5160902441603552 0.3071660304819235 0.5189129902215456
0.29524055185257114 0.9044031540035768 0.1597275561482963
0.09458804270221888 0.6579709298707672 0.409350884760025
0.56073110557752 0.8983215378380477 0.24686459248089354
0.08175874610012823 0.11227677253348933 1.1885313436720355
0.17434909115710362 0.4827986131236075 0.4703161572074084
0.8096882449506547 0.37384864633252357 0.6369654198816508
0.6948765916681132 0.314590592224108 0.7105666377580884
0.05970092456763354 0.826887534988926 0.292600078597155
0.3024799375187428 0.6375153420123608 0.4638085071810054
0.3227827803775438 0.3158298001234814 0.8282080643632344
0.9029286266346495 0.8271357652394047 0.08377402700032603
0.808676911882337 0.0071373625241145655 0.1630712789271052
0.9452508231397474 0.9058239136170462 0.03899215128545622
0.42510274877570087 0.033713351347643083 0.6954369724186318
0.6498976160140951 0.1741094704431556 0.355417493218757
0.7717538711316025 0.47709647093685326 0.5547697158066797
0.21533552643037412 0.963543513968062 0.273526602363294
0.19422665955564766 0.009247217216461157 0.9346611597310583
0.12732332573279692 0.48909611203507797 0.6730519526891146
0.7699757886240697 0.79841349341599 -0.0039016578172663963
0.07950991586535205 0.5643725261750265 0.40940222664207987
0.8865526719258303 0.8875092839649582 0.023175444996771773
0.9187039812022122 0.970781499531649 -0.04850673614477044
0.8047378030292159 0.9099865117244299 -0.07736992556771412
0.513032957507276 0.0861398784131362 0.5015815049536575
0.09829053887008465 0.529119370449663 0.4249116437907884
0.4858501351426652 0.4864830055995162 0.4092389723657041
0.49236317537250285 0.8113867427507434 -0.020158129819382288
0.13440567578597062 0.2715117805657119 1.1429996955216843
0.2207300778679273 0.9240043885498024 0.2621904308284152
0.03514759950660751 0.36393358511149954 0.8002841760338785
0.14516968235932282 0.77399143580215 0.20582111555438462
0.04340602740825361 0.20915468708879814 0.8420409563861481
0.9237602922500293 0.6350264297639895 0.11360585912011448
0.9534612593749613 0.8529515087601497 -0.013250521867158783
0.0176247357740158 0.9031546527411872 0.3047552602632847
0.9158197876062455 0.5775571067651092 0.16635235497596623
0.13788374657425073 0.9879417711758098 0.223998778300653
0.4288344420243396 0.28979759768438174 0.6474873917645882
0.5367093648024446 0.07817761620799357 0.37548528755910177
0.31851507395060696 0.7240606399917061 0.20748802526755444
0.8777809305211016 0.535716082936291 0.23727508019913185
0.6427295217065455 0.5029028078837336 0.40587216915029906
0.6496051737207162 0.45049341901256457 0.5022773287760479
0.546703441885598 0.29108973449709463 0.4616578721258848
0.6782114453052044 0.5064392324134772 0.4276613349204237
0.6767139886737948 0.7969169805549469 0.02594506618501355
0.40674497604506876 0.5420489584874372 0.28577676293894627
0.39430955186654504 0.1485428845466431 0.8084636956555404
0.0023906291203243946 0.356635203147466 0.59163332290601
0.22702269768496364 0.9634013685692739 0.12773260239578849
0.16428813268776243 0.5947475942799211 0.4753867667544363
0.7014969215843841 0.506659600568405 0.35039634165070105
0.02665217187896418 0.5602178797394173 0.3317630265884127
0.7028727388347539 0.141991636222363 0.4769397355007987
0.43793385286167874 0.20132932621435906 1.0735427360926098
0.26732978217818426 0.9118575492246855 0.10432159091733648
0.060758819371329986 0.5963572293868188 0.39235622842250273
0.5520138860908612 0.1016521396329757 0.4012106015469472
0.9542796667915715 0.22773976377512317 0.4087953242363869
0.7649165265862562 0.971748590370467 0.05421959026258395
0.4334945707955785 0.3297253748479134 0.6048689214187312
0.9290066583581723 0.6854226563155975 -0.15098640552056602
0.4503707686235455 0.6094051035914116 0.4693125268794264
0.8985212113687079 0.3332131493127696 0.5143021543016335
0.04660076250878442 0.5492548080272966 0.36459769193202773
0.48549813563060296 0.5326752957612083 0.4028881781147686
0.37516568129190786 0.014318285006989617 0.7890989984912564
0.4909962353712548 0.09775577824845283 0.47449178313381823
=======
0.041142721404649585 0.42340296933690613 0.8838585981024887
0.798141667210634 0.9602885950706648 0.1851011328768361
0.021650127977331124 0.4399567390303102 0.6322796235189903
0.04675860242677998 0.7448940845338642 0.2652466132607522
0.9753396224246483 0.89529190713426 0.08981672354954189
0.4119452695444731 0.6883080224424475 0.26106027476207294
0.2865090300062936 0.19341814268515944 1.2679146129234085
0.5753226550989451 0.11511089134405328 0.43276223615234666
0.4155711545457089 0.44431933709412774 0.3741574389098985
0.06913547973063106 0.17606611027011188 0.9862339820327732
0.4596816430814348 0.7020464373180868 0.14732988282389325
0.2775744717658738 0.28844927338583404 1.186647754528151
0.273476070394161 0.5598114642645879 0.46108195754878356
0.6955298705560933 0.7604763913366911 0.3076098285850765
0.018083985685526827 0.8367247836252715 0.35644350927167495
0.4664515814780479 0.2878754684042787 0.7526844182714715
0.22779642982926485 0.373271954515789 0.8671281487610476
0.6160210021092873 0.27086802807409116 0.3763431678640752
0.4584028211938739 0.668514994771872 0.1586733933031443
