,eta,1,2,3,4,5
0,0.0001,0.3606226608505239,0.3032383833869659,0.31208602851147643,0.2754110962705978,0.22258852034538076
1,0.0001,0.3619451920454206,0.2991893580909513,0.24644266502995288,0.20782257691060277,0.1877116893954978
2,0.0001,0.3528688081182991,0.2943497647221532,0.21082297723825033,0.18694571812988306,0.19408531301128085
3,0.0001,0.360726394932528,0.2919558388458647,0.20967076221104894,0.16988811450483587,0.21413777011862595
4,0.0001,0.34655833234116756,0.3075573051006693,0.30719245556019137,0.2836068468589889,0.2411599058351934
5,0.0001,0.36320976467007454,0.3091963719757476,0.21707134447172013,0.20049589785611044,0.18683917320735755
6,0.0001,0.3518503700231741,0.2871922114985487,0.21477217597050074,0.18742602113469573,0.16879362557874406
7,0.0001,0.35603021703079696,0.29253866255324035,0.20159388685862567,0.16823147698633145,0.16967723712870683
8,0.0001,0.36465271607364047,0.30024415531784643,0.31069043000285146,0.2717991145892159,0.22257503154457733
9,0.0001,0.3776658426663208,0.2898117897064794,0.23842983885309132,0.20970917501207298,0.18303961416432019
10,0.0001,0.38365987041980154,0.28985985455875585,0.21480340551328111,0.18928036712954502,0.17825073163388278
11,0.0001,0.35148846889726515,0.28794191552373705,0.19810897974284852,0.16514876458856254,0.17537883601106427
12,0.0001,0.35427725042343944,0.28179326633661694,0.2801852498429895,0.2698320158719306,0.2188067182260316
13,0.0001,0.38118818070279414,0.29601517863927823,0.2263884981734131,0.214798864885561,0.19754832623401483
14,0.0001,0.3695336763874035,0.29242467787601945,0.21221750396334899,0.18374897848271726,0.17689473372247347
15,0.0001,0.3400185961865874,0.29258671808674513,0.21320115096881984,0.1747716214909144,0.16861436527758528
16,0.0001,0.3607128178628213,0.31254160036625234,0.31410121924223544,0.27984399394998627,0.21388006893784048
17,0.0001,0.3827542810227142,0.300598285366812,0.21958182145949573,0.2134547980799534,0.18529664167071508
18,0.0001,0.37503514986503794,0.29270759356321807,0.20924105202371784,0.1812113454641963,0.16246495700571126
19,0.0001,0.3425247004030821,0.30520990556586697,0.20302788803463606,0.17137961823841422,0.17462548620101886
20,0.0001,0.37289773691851036,0.2907218505046843,0.2910615881791074,0.27851758540878907,0.2237228218123758
21,0.0001,0.36095253312998304,0.30833299155989674,0.25245094735629264,0.2109908679449889,0.1980137536446561
22,0.0001,0.3424588403277359,0.2913811492453977,0.22996812315035128,0.18803111732782118,0.17641221282332678
23,0.0001,0.37447612762772237,0.285495718625683,0.20242628746750313,0.16653429829914296,0.16873422807134497
24,0.0001,0.3717335702110252,0.307791373041871,0.3119380988220122,0.28556929061827624,0.22244542598909123
25,0.0001,0.36068178588976507,0.2838856721933477,0.2284653136213755,0.20506517195617716,0.18714855118113477
26,0.0001,0.36513002848979104,0.3131973108368002,0.21666903749837313,0.17809621956186736,0.18028491851614387
27,0.0001,0.36104020199589326,0.2938100608699781,0.20146164597550242,0.18061197413662122,0.1681112487324296
28,0.0001,0.36759874063785297,0.3021772890148412,0.3233338362510679,0.28806183261577517,0.21751239301222697
29,0.0001,0.34736349311648984,0.29324513391726625,0.2333996378429553,0.21884523662221467,0.18757699342416737
30,0.0001,0.3575761261203189,0.28579938469390265,0.20848599519016467,0.19560895088607883,0.17888301186832822
31,0.0001,0.35348331345456585,0.30661062272740286,0.2148633459463727,0.16864970512555924,0.1634007267218915
32,0.0001,0.3672188094128631,0.28608880643787654,0.2810016791310329,0.2739121801631042,0.21692467303958904
33,0.0001,0.36778713176380606,0.3000643842017883,0.22610294895015629,0.21737603595704827,0.20057387981572866
34,0.0001,0.36178417754422015,0.30606207587310075,0.22041786608200487,0.19236221856165464,0.1800718314084767
35,0.0001,0.33972824828728393,0.29321492783428743,0.2106545891392767,0.1704591038357949,0.16659876707945226
